[2014-08-13 10:17:26,436] [DEBUG]: URL: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:164]
[2014-08-13 10:17:26,436] [DEBUG]: Processing request...[in wcs.py:29]
[2014-08-13 10:17:26,436] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:30]
[2014-08-13 10:17:26,437] [DEBUG]: Contacting WCS Server with request...https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:172]
[2014-08-13 10:17:29,334] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:174]
[2014-08-13 10:17:29,334] [DEBUG]: Request successful[in wcs.py:175]
[2014-08-13 10:17:29,334] [DEBUG]: Saving out temporary file...[in wcs.py:179]
[2014-08-13 10:17:29,337] [DEBUG]: Temporary file saved successfully[in wcs.py:184]
[2014-08-13 10:17:29,338] [DEBUG]: Opening netCDF file...[in wcs.py:188]
[2014-08-13 10:17:29,338] [DEBUG]: NetCDF file opened[in wcs.py:190]
[2014-08-13 10:17:29,338] [DEBUG]: Checking data...[in wcs.py:223]
[2014-08-13 10:17:29,338] [DEBUG]: Data checked, beginning requested process...[in wcs.py:226]
[2014-08-13 10:17:29,799] [DEBUG]: ========== key:Rainf ===========[in wcs.py:590]
[2014-08-13 10:17:29,799] [DEBUG]: _FillValue[in wcs.py:592]
[2014-08-13 10:17:29,799] [DEBUG]: units[in wcs.py:592]
[2014-08-13 10:17:29,799] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 10:17:29,799] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 10:17:29,799] [DEBUG]: comment[in wcs.py:592]
[2014-08-13 10:17:29,799] [DEBUG]: valid_range[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: coordinates[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: ========== key:time ===========[in wcs.py:590]
[2014-08-13 10:17:29,800] [DEBUG]: units[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: calendar[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: axis[in wcs.py:592]
[2014-08-13 10:17:29,800] [DEBUG]: _CoordinateAxisType[in wcs.py:592]
[2014-08-13 10:17:30,076] [DEBUG]: starting basic calc[in wcs.py:340]
[2014-08-13 10:17:30,076] [DEBUG]: starting iter of dates[in wcs.py:363]
[2014-08-13 10:17:30,678] [DEBUG]: Finished basic[in wcs.py:388]
[2014-08-13 10:17:30,678] [DEBUG]: Process complete, returning data for transmission...[in wcs.py:230]
[2014-08-13 10:17:30,678] [DEBUG]: Jsonifying response...[in wcs.py:70]
